"","P607 - Nº Trabajadores","P639 - Años Funcionamiento","P640 - Método Contable","P978 - Smartphones","P1010 - Ingresos ($)","P1087 - PC Escritorio","P1088 - PC Portátil","P1559 - Redes Sociales","P2524 - Acceso a Internet","P2529 - Velocidad Internet","P2532 - Página Web","SECTOR - Sector Económico"
"25275",3,"10 años o más","Otro tipo de cuentas",0,3.6e+07,0,0,"No","No",NA,"No","Industria"
"25276",6,"10 años o más","Libro de registro diario",0,1e+08,0,1,"No","Sí","Entre 2 y menos de 4 MB","No","Industria"
"25277",1,"10 años o más","No lleva",0,1.8e+07,0,0,"No","Sí","4 MB o más","No","Industria"
"25278",1,"5 a menos de 10 años","No lleva",0,1.2e+07,0,0,"No","No",NA,"No","Comercio"
"25279",2,"5 a menos de 10 años","No lleva",0,22800000,7,0,"No","Sí","4 MB o más","No","Servicios"
"25280",2,"10 años o más","No lleva",0,1e+07,0,0,"No","No",NA,"No","Industria"
"25281",8,"1 a menos de 3 años","No lleva",1,9.5e+07,1,0,"No","Sí","4 MB o más","No","Industria"
"25282",1,"10 años o más","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"25283",1,"1 a menos de 3 años","Otro tipo de cuentas",0,7.2e+07,0,0,"No","No",NA,"No","Comercio"
"25284",1,"1 a menos de 3 años","No lleva",0,1.8e+08,0,0,"No","No",NA,"No","Comercio"
"25285",3,"3 a menos de 5 años","P o G o Balance General",0,4.2e+08,2,0,"No","Sí","4 MB o más","No","Comercio"
"25286",8,"10 años o más","Libro de registro diario",0,3e+08,1,0,"No","Sí","Entre 2 y menos de 4 MB","No","Comercio"
"25287",5,"3 a menos de 5 años","No lleva",0,1.08e+08,0,0,"No","No",NA,"No","Servicios"
"25288",3,"5 a menos de 10 años","No lleva",0,28800000,0,0,"No","No",NA,"No","Industria"
"25289",3,"10 años o más","P o G o Balance General",0,7.2e+07,0,0,"No","No",NA,"No","Industria"
"25290",1,"3 a menos de 5 años","No lleva",0,1200000,0,0,"No","No",NA,"No","Servicios"
"25291",3,"5 a menos de 10 años","No lleva",0,8.4e+07,0,0,"No","No",NA,"No","Comercio"
"25292",2,"3 a menos de 5 años","No lleva",0,23040000,0,0,"No","No",NA,"No","Servicios"
"25293",3,"5 a menos de 10 años","No lleva",0,1.44e+08,0,0,"No","No",NA,"No","Comercio"
"25294",3,"10 años o más","Libro de registro diario",0,3.6e+08,0,1,"No","Sí","4 MB o más","No","Comercio"
"25295",3,"5 a menos de 10 años","No lleva",2,7.2e+07,0,0,"No","Sí","4 MB o más","Sí","Comercio"
"25296",2,"5 a menos de 10 años","No lleva",0,7.2e+07,0,0,"No","No",NA,"No","Comercio"
"25297",4,"3 a menos de 5 años","Otro tipo de cuentas",0,4.8e+07,2,0,"No","Sí","4 MB o más","No","Industria"
"25298",1,"10 años o más","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Servicios"
"25299",1,"5 a menos de 10 años","Otro tipo de cuentas",0,7.2e+07,2,0,"No","Sí","4 MB o más","No","Servicios"
"25300",1,"5 a menos de 10 años","No lleva",0,4.8e+07,1,0,"No","Sí","Entre 2 y menos de 4 MB","No","Servicios"
"25301",4,"1 a menos de 3 años","Libro de registro diario",0,8.4e+07,0,0,"No","No",NA,"No","Servicios"
"25302",6,"3 a menos de 5 años","P o G o Balance General",0,2.4e+08,1,0,"No","Sí","4 MB o más","No","Servicios"
"25303",1,"10 años o más","No lleva",0,6e+07,0,0,"No","No",NA,"No","Comercio"
"25304",1,"5 a menos de 10 años","Otro tipo de cuentas",0,1.2e+07,0,0,"No","No",NA,"No","Comercio"
"25305",2,"10 años o más","No lleva",0,7.2e+07,0,0,"No","No",NA,"No","Comercio"
"25306",1,"1 a menos de 3 años","No lleva",0,1.8e+07,0,0,"No","No",NA,"No","Comercio"
"25307",1,"10 años o más","Otro tipo de cuentas",0,2.4e+07,0,0,"No","No",NA,"No","Comercio"
"25308",5,"10 años o más","Libro de registro diario",0,7.2e+07,0,0,"No","No",NA,"No","Servicios"
"25309",3,"10 años o más","Otro tipo de cuentas",0,6e+06,2,0,"No","Sí","4 MB o más","No","Comercio"
"25310",1,"10 años o más","Libro de registro diario",0,5.4e+07,0,0,"No","No",NA,"No","Comercio"
"25311",2,"1 a menos de 3 años","P o G o Balance General",0,20160000,0,0,"No","No",NA,"No","Servicios"
"25312",1,"10 años o más","Otro tipo de cuentas",0,4800000,0,0,"No","No",NA,"No","Comercio"
"25313",3,"1 a menos de 3 años","No lleva",0,4.2e+07,0,0,"No","No",NA,"No","Comercio"
"25314",1,"5 a menos de 10 años","No lleva",0,6e+06,0,0,"No","No",NA,"No","Servicios"
"25315",1,"10 años o más","No lleva",0,40500000,0,0,"No","No",NA,"No","Comercio"
"25316",2,"5 a menos de 10 años","Otro tipo de cuentas",0,5e+07,0,0,"No","No",NA,"No","Comercio"
"25317",2,"10 años o más","No lleva",2,1.8e+07,0,0,"No","No",NA,"No","Comercio"
"25318",3,"1 a menos de 3 años","P o G o Balance General",0,6e+07,0,0,"Sí","No",NA,"Sí","Industria"
"25319",2,"3 a menos de 5 años","Otro tipo de cuentas",0,7.8e+07,0,0,"No","No",NA,"No","Comercio"
"25320",4,"1 a menos de 3 años","Libro de registro diario",0,1.2e+08,0,0,"No","No",NA,"No","Comercio"
"25321",1,"10 años o más","Otro tipo de cuentas",0,4.2e+07,0,0,"No","No",NA,"No","Comercio"
"25322",1,"10 años o más","No lleva",0,3.6e+07,0,2,"No","Sí","4 MB o más","No","Servicios"
"25323",1,"5 a menos de 10 años","Libro de registro diario",0,21600000,1,0,"No","Sí","4 MB o más","No","Servicios"
"25324",2,"10 años o más","Otro tipo de cuentas",0,1.44e+08,1,0,"No","Sí","4 MB o más","No","Comercio"
"25325",2,"10 años o más","Libro de registro diario",0,6e+07,0,0,"No","No",NA,"No","Servicios"
"25326",1,"5 a menos de 10 años","No lleva",0,6e+06,0,0,"No","No",NA,"No","Comercio"
"25327",1,"1 a menos de 3 años","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"25328",1,"3 a menos de 5 años","No lleva",0,9e+06,0,0,"No","No",NA,"No","Servicios"
"25329",2,"10 años o más","No lleva",0,1.8e+07,0,0,"No","No",NA,"No","Comercio"
"25330",1,"10 años o más","Otro tipo de cuentas",0,14400000,0,0,"No","No",NA,"No","Comercio"
"25331",7,"10 años o más","P o G o Balance General",0,2.5e+08,1,0,"No","Sí","4 MB o más","No","Comercio"
"25332",1,"10 años o más","No lleva",0,8e+07,0,0,"No","No",NA,"No","Comercio"
"25333",2,"10 años o más","Otro tipo de cuentas",0,1.8e+07,0,0,"No","No",NA,"No","Industria"
"25334",1,"10 años o más","No lleva",0,2.4e+07,0,0,"No","No",NA,"No","Industria"
"25335",3,"10 años o más","No lleva",0,7.5e+07,0,0,"No","No",NA,"No","Comercio"
"25336",2,"10 años o más","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
"25337",2,"1 a menos de 3 años","Otro tipo de cuentas",0,2.4e+07,0,0,"No","No",NA,"No","Industria"
"25338",2,"10 años o más","Otro tipo de cuentas",0,6e+07,0,0,"No","No",NA,"No","Comercio"
"25339",2,"10 años o más","No lleva",0,14400000,0,0,"No","No",NA,"No","Comercio"
"25340",1,"5 a menos de 10 años","P o G o Balance General",0,14400000,0,0,"No","No",NA,"No","Comercio"
"25341",2,"10 años o más","Otro tipo de cuentas",0,1.2e+07,0,0,"No","No",NA,"No","Industria"
"25342",5,"10 años o más","Libro de registro diario",0,125112000,1,0,"No","Sí",NA,"No","Industria"
"25343",1,"5 a menos de 10 años","No lleva",0,1.2e+07,0,0,"No","No",NA,"No","Comercio"
"25344",1,"10 años o más","No lleva",0,1.2e+07,0,0,"No","No",NA,"No","Comercio"
"25345",3,"1 a menos de 3 años","No lleva",0,2.4e+08,0,0,"No","No",NA,"No","Industria"
"25346",1,"10 años o más","No lleva",0,14400000,0,0,"No","No",NA,"No","Comercio"
"25347",1,"5 a menos de 10 años","Otro tipo de cuentas",0,9.6e+07,0,1,"No","Sí","4 MB o más","No","Servicios"
"25348",2,"5 a menos de 10 años","No lleva",0,1e+06,1,2,"No","Sí","4 MB o más","No","Servicios"
"25349",3,"3 a menos de 5 años","No lleva",0,7.2e+07,0,2,"No","Sí","Entre 2 y menos de 4 MB","No","Servicios"
"25350",4,"5 a menos de 10 años","Libro de registro diario",0,8.4e+07,1,0,"No","Sí","Entre 2 y menos de 4 MB","No","Servicios"
"25351",3,"10 años o más","Libro de registro diario",0,1.8e+08,1,0,"No","Sí","4 MB o más","No","Comercio"
"25352",1,"10 años o más","No lleva",0,2.4e+08,0,0,"No","No",NA,"No","Comercio"
"25353",6,"10 años o más","Otro tipo de cuentas",0,1.8e+08,0,0,"No","No",NA,"No","Comercio"
"25354",2,"10 años o más","No lleva",0,1.8e+08,0,0,"No","No",NA,"No","Comercio"
"25355",2,"10 años o más","No lleva",0,1.8e+07,0,0,"No","No",NA,"No","Servicios"
"25356",1,"10 años o más","No lleva",0,10800000,0,0,"No","No",NA,"No","Industria"
"25357",1,"3 a menos de 5 años","Otro tipo de cuentas",0,2.4e+07,0,0,"No","No",NA,"No","Comercio"
"25358",2,"3 a menos de 5 años","No lleva",0,1.8e+07,0,0,"No","No",NA,"No","Servicios"
"25359",2,"10 años o más","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Comercio"
